,0
2830,1
2831,0
2832,2
2833,2
2834,2
2835,3
2836,3
2837,1
2838,3
2839,1
2840,2
2841,0
2842,1
2843,0
2844,2
2845,3
2846,1
2847,0
2848,3
2849,1
2850,4
2851,0
2852,2
2853,2
2854,1
2855,1
2856,2
2857,1
2858,1
2859,0
2860,5
2861,2
2862,1
2863,3
2864,2
2865,1
2866,2
2867,0
2868,1
2869,0
2870,3
2871,2
2872,4
2873,1
2874,2
2875,4
2876,2
2877,3
2878,2
2879,0
2880,3
2881,1
2882,0
2883,1
2884,5
2885,1
2886,1
2887,1
2888,0
2889,1
2890,1
2891,1
2892,0
2893,0
2894,0
2895,3
2896,2
2897,0
2898,3
2899,3
2900,9
2901,0
2902,0
2903,3
2904,3
2905,0
2906,2
2907,0
2908,1
2909,8
2910,2
2911,4
2912,2
2913,0
2914,1
2915,2
2916,4
2917,0
2918,0
2919,0
2920,1
2921,3
2922,2
2923,1
2924,0
2925,1
2926,3
2927,3
2928,3
2929,2
2930,2
2931,0
2932,1
2933,8
2934,0
2935,4
2936,0
2937,2
2938,4
2939,1
2940,7
2941,2
2942,4
2943,0
2944,5
2945,0
2946,2
2947,0
2948,4
2949,1
2950,3
2951,0
2952,3
2953,0
2954,0
2955,4
2956,2
2957,2
2958,5
2959,1
2960,0
2961,1
2962,4
2963,1
2964,2
2965,1
2966,2
2967,1
2968,1
2969,4
2970,2
2971,1
2972,2
2973,3
2974,0
2975,0
2976,0
2977,6
2978,1
2979,0
2980,2
2981,1
2982,1
2983,0
2984,0
2985,0
2986,2
2987,1
2988,1
2989,1
2990,0
2991,0
2992,0
2993,1
2994,0
2995,0
